ID,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
1,2023,SE,FT,ML Engineer,234100,USD,234100,US,100,US,M
2,2023,SE,FT,ML Engineer,203500,USD,203500,US,100,US,M
3,2023,SE,FT,Data Scientist,223800,USD,223800,US,0,US,M
4,2023,SE,FT,Data Scientist,172100,USD,172100,US,0,US,M
5,2023,SE,FT,Data Scientist,180000,USD,180000,US,0,US,M
6,2023,SE,FT,Data Scientist,150000,USD,150000,US,0,US,M
7,2023,SE,FT,Data Engineer,232200,USD,232200,US,100,US,M
8,2023,SE,FT,Data Engineer,167200,USD,167200,US,100,US,M
9,2023,SE,FT,BI Developer,197000,USD,197000,US,0,US,M
10,2023,SE,FT,BI Developer,106000,USD,106000,US,0,US,M
11,2023,SE,FT,Research Scientist,180000,USD,180000,US,0,US,M
12,2023,SE,FT,Research Scientist,145000,USD,145000,US,0,US,M
13,2023,SE,FT,Data Lead,225000,USD,225000,US,0,US,M
14,2023,SE,FT,Data Lead,200000,USD,200000,US,0,US,M
15,2023,SE,FT,Data Engineer,170000,USD,170000,US,100,US,M
16,2023,SE,FT,Data Engineer,114000,USD,114000,US,100,US,M
17,2023,SE,FT,Data Engineer,291500,USD,291500,US,0,US,M
18,2023,SE,FT,Data Engineer,180000,USD,180000,US,0,US,M
19,2023,EX,FT,Data Engineer,196200,USD,196200,US,0,US,M
20,2023,EX,FT,Data Engineer,150900,USD,150900,US,0,US,M
21,2023,SE,FT,Data Scientist,168400,USD,168400,US,0,US,M
22,2023,SE,FT,Data Scientist,105200,USD,105200,US,0,US,M
23,2023,MI,FT,Data Engineer,95000,USD,95000,ES,100,ES,M
24,2023,MI,FT,Data Engineer,80000,USD,80000,ES,100,ES,M
25,2023,MI,FT,Data Analyst,116000,USD,116000,US,0,US,M
26,2023,MI,FT,Data Analyst,72000,USD,72000,US,0,US,M
27,2023,SE,FT,Analytics Engineer,207000,USD,207000,US,0,US,M
28,2023,SE,FT,Analytics Engineer,167000,USD,167000,US,0,US,M
29,2023,SE,FT,Machine Learning Engineer,145000,USD,145000,US,0,US,M
30,2023,SE,FT,Machine Learning Engineer,135000,USD,135000,US,0,US,M
31,2023,MI,FT,Data Engineer,105000,USD,105000,US,0,US,M
32,2023,MI,FT,Data Engineer,70000,USD,70000,US,0,US,M
33,2023,SE,FT,Data Architect,180000,USD,180000,US,100,US,M
34,2023,SE,FT,Data Architect,115000,USD,115000,US,100,US,M
35,2023,SE,FT,Data Engineer,133800,USD,133800,US,100,US,M
36,2023,SE,FT,Data Engineer,96100,USD,96100,US,100,US,M
37,2023,MI,FT,Data Analyst,120000,USD,120000,US,0,US,M
38,2023,MI,FT,Data Analyst,80000,USD,80000,US,0,US,M
39,2023,SE,FT,Data Science Engineer,140000,USD,140000,US,0,US,M
40,2023,SE,FT,Data Science Engineer,100000,USD,100000,US,0,US,M
41,2023,SE,FT,Research Scientist,150000,USD,150000,US,0,US,M
42,2023,SE,FT,Research Scientist,120000,USD,120000,US,0,US,M
43,2023,SE,FT,Cloud Database Engineer,140000,USD,140000,US,100,US,M
44,2023,SE,FT,Cloud Database Engineer,115000,USD,115000,US,100,US,M
45,2023,SE,FT,Data Science Manager,297300,USD,297300,US,100,US,M
46,2023,SE,FT,Data Science Manager,198200,USD,198200,US,100,US,M
47,2023,SE,FT,Data Scientist,297300,USD,297300,US,100,US,M
48,2023,SE,FT,Data Scientist,198200,USD,198200,US,100,US,M
49,2023,SE,FT,Data Engineer,202000,USD,202000,US,100,US,M
50,2023,SE,FT,Data Engineer,135000,USD,135000,US,100,US,M
51,2023,SE,FT,Data Scientist,110000,USD,110000,US,100,US,M
52,2023,SE,FT,Data Scientist,84000,USD,84000,US,100,US,M
53,2023,MI,FT,Machine Learning Engineer,219000,USD,219000,US,50,US,L
54,2023,SE,FT,Applied Scientist,230000,USD,230000,US,100,US,M
55,2023,SE,FT,Applied Scientist,196000,USD,196000,US,100,US,M
56,2023,SE,FT,BI Developer,140000,USD,140000,US,100,US,M
57,2023,SE,FT,BI Developer,110000,USD,110000,US,100,US,M
58,2023,MI,FT,Data Analyst,150000,USD,150000,US,0,US,M
59,2023,MI,FT,Data Analyst,100000,USD,100000,US,0,US,M
60,2023,SE,FT,Data Engineer,160000,USD,160000,US,0,US,M
61,2023,SE,FT,Data Engineer,110000,USD,110000,US,0,US,M
62,2023,SE,FT,Data Scientist,185900,USD,185900,US,0,US,M
63,2023,SE,FT,Data Scientist,129300,USD,129300,US,0,US,M
64,2023,SE,FT,Applied Scientist,126100,USD,126100,US,0,US,L
65,2023,SE,FT,Applied Scientist,72000,USD,72000,US,0,US,L
66,2023,SE,FT,Data Engineer,170000,USD,170000,US,100,US,M
67,2023,SE,FT,Data Engineer,150000,USD,150000,US,100,US,M
68,2023,MI,FT,Machine Learning Engineer,175000,USD,175000,US,100,US,M
69,2023,MI,FT,Machine Learning Engineer,140000,USD,140000,US,100,US,M
70,2023,SE,FT,Data Analyst,240500,USD,240500,US,0,US,M
71,2023,SE,FT,Data Analyst,137500,USD,137500,US,0,US,M
72,2023,MI,FT,Data Scientist,187500,USD,187500,US,0,US,M
73,2023,MI,FT,Data Scientist,165000,USD,165000,US,0,US,M
74,2023,MI,FT,Machine Learning Research Engineer,60000,GBP,72088,GB,0,GB,L
75,2022,EN,PT,Data Analyst,24000,EUR,25216,ES,100,US,L
76,2023,SE,FT,Research Scientist,210000,USD,210000,US,0,US,M
77,2023,SE,FT,Research Scientist,165750,USD,165750,US,0,US,M
78,2023,SE,FT,Machine Learning Scientist,225000,USD,225000,US,100,US,M
79,2023,SE,FT,Machine Learning Scientist,165750,USD,165750,US,100,US,M
80,2023,MI,FT,Machine Learning Engineer,89700,GBP,107772,GB,0,GB,M
81,2023,MI,FT,Machine Learning Engineer,55250,GBP,66381,GB,0,GB,M
82,2023,SE,FT,Data Scientist,135000,USD,135000,US,100,US,M
83,2023,SE,FT,Data Scientist,115000,USD,115000,US,100,US,M
84,2023,SE,FT,NLP Engineer,275000,USD,275000,US,0,US,M
85,2023,SE,FT,NLP Engineer,175000,USD,175000,US,0,US,M
86,2023,SE,FT,Data Scientist,170000,USD,170000,US,100,US,M
87,2023,SE,FT,Data Scientist,140000,USD,140000,US,100,US,M
88,2023,SE,FT,Data Engineer,175308,USD,175308,US,0,US,M
89,2023,SE,FT,Data Engineer,100706,USD,100706,US,0,US,M
90,2023,SE,FT,NLP Engineer,235000,USD,235000,US,0,US,M
91,2023,SE,FT,NLP Engineer,135000,USD,135000,US,0,US,M
92,2023,SE,FT,Data Engineer,310000,USD,310000,US,0,US,M
93,2023,SE,FT,Data Engineer,229000,USD,229000,US,0,US,M
94,2023,SE,FT,ML Engineer,289076,USD,289076,US,0,US,M
95,2023,SE,FT,ML Engineer,202353,USD,202353,US,0,US,M
96,2023,SE,FT,Data Engineer,65000,EUR,68988,PT,0,PT,M
97,2023,SE,FT,Data Engineer,35000,EUR,37147,PT,0,PT,M
98,2023,MI,FT,Research Engineer,120000,USD,120000,US,100,US,M
99,2023,MI,FT,Research Engineer,100000,USD,100000,US,100,US,M
100,2023,SE,FT,Data Engineer,226700,USD,226700,US,0,US,M
101,2023,SE,FT,Data Engineer,133300,USD,133300,US,0,US,M
102,2023,SE,FT,Data Analyst,125000,USD,125000,US,0,US,M
103,2023,SE,FT,Data Analyst,85000,USD,85000,US,0,US,M
104,2023,SE,FT,Data Analyst,130000,USD,130000,US,100,US,M
105,2023,SE,FT,Data Analyst,80000,USD,80000,US,100,US,M
106,2023,MI,FT,Data Engineer,120000,USD,120000,US,0,US,M
107,2023,MI,FT,Data Engineer,100000,USD,100000,US,0,US,M
108,2021,SE,FT,Data Scientist,4000000,INR,54094,IN,100,IN,L
109,2022,MI,FT,Business Data Analyst,1440000,INR,18314,IN,50,IN,L
110,2023,SE,FT,Data Engineer,231250,USD,231250,US,100,US,M
111,2023,SE,FT,Data Engineer,138750,USD,138750,US,100,US,M
112,2023,SE,FT,Data Engineer,199000,USD,199000,US,0,US,M
113,2023,SE,FT,Data Engineer,162000,USD,162000,US,0,US,M
114,2023,EN,FT,Data Engineer,160000,USD,160000,US,0,US,M
115,2023,EN,FT,Data Engineer,135000,USD,135000,US,0,US,M
116,2022,EN,FT,Data Scientist,100000,USD,100000,US,100,US,M
117,2023,SE,FT,Research Scientist,200000,USD,200000,US,0,US,M
118,2023,SE,FT,Research Scientist,150000,USD,150000,US,0,US,M
119,2023,EN,FT,Research Engineer,160000,USD,160000,US,0,US,M
120,2023,EN,FT,Research Engineer,120000,USD,120000,US,0,US,M
121,2023,SE,FT,Research Scientist,250000,USD,250000,US,0,US,M
122,2023,SE,FT,Research Scientist,200000,USD,200000,US,0,US,M
123,2023,EN,FT,Deep Learning Engineer,150000,USD,150000,US,0,US,M
124,2023,EN,FT,Deep Learning Engineer,120000,USD,120000,US,0,US,M
125,2023,SE,FT,Research Engineer,150000,USD,150000,US,0,US,M
126,2023,SE,FT,Research Engineer,100000,USD,100000,US,0,US,M
127,2022,SE,FT,Data Analytics Manager,133000,USD,133000,NL,0,NL,L
128,2023,SE,FT,Data Scientist,272550,USD,272550,US,0,US,M
129,2023,SE,FT,Data Scientist,198200,USD,198200,US,0,US,M
130,2023,SE,FT,Data Scientist,182000,USD,182000,US,0,US,M
131,2023,SE,FT,Data Scientist,140000,USD,140000,US,0,US,M
132,2023,SE,FT,Data Engineer,200000,USD,200000,US,0,US,M
133,2023,SE,FT,Data Engineer,160000,USD,160000,US,0,US,M
134,2023,SE,FT,Machine Learning Engineer,204500,USD,204500,US,0,US,M
135,2023,SE,FT,Machine Learning Engineer,142200,USD,142200,US,0,US,M
136,2023,MI,FT,Data Scientist,120000,USD,120000,US,0,US,M
137,2023,MI,FT,Data Scientist,105000,USD,105000,US,0,US,M
138,2023,SE,FT,Data Engineer,187500,USD,187500,US,100,US,M
139,2023,SE,FT,Data Engineer,175000,USD,175000,US,100,US,M
140,2023,SE,FT,Machine Learning Engineer,204500,USD,204500,US,0,US,M
